name,rate,review_count,type,location,CSS,Classification
Tavakol Traditional Restaurant,4.0,95.0,Restaurant,"CX5Q+5P6, Rafsanjan, Kerman Province, Iran",95.47738693467338,A
Shams Restaurant,2.5,4.0,Restaurant,"Kerman Province, Rafsanjan، خ نبش کوچه ۱۱, Mostafa Khomeini, Iran",2.512562814070352,D
Koohsar Restaurant,3.9,35.0,Restaurant,"Kerman Province, Rafsanjan, Mostafa Khomeini, CXCJ+864, Iran",34.2964824120603,C
Golha Restaurant,3.5,18.0,Restaurant,"Kerman Province, Rafsanjan, پلاک 36, Taleghani, 9XRX+MGX, Iran",15.829145728643216,D
Shahrzad Restaurant,4.3,10.0,Restaurant,"Kerman Province, Rafsanjan, Emam Khomeini, CX3W+JW2, Iran",10.804020100502512,D
Farhangian Restaurant,3.4,21.0,Restaurant,"Kerman Province, Rafsanjan, Bahonar, CX9G+RXW, Iran",17.93969849246231,D
Karen Restaurant,4.1,16.0,Restaurant,"9XWQ+F7W, Rafsanjan, Kerman Province, Iran",16.482412060301506,D
Madar Restaurant,4.0,2.0,Restaurant,"CX5X+PJG, Rafsanjan, Kerman Province, Iran",2.0100502512562812,D
Lux Talaei Restaurant,3.9,37.0,Restaurant,"9XH4+792, Rafsanjan, Kerman Province, Iran",36.256281407035175,C
Deniz Restaurant,0.0,0.0,Restaurant,"Kerman Province، چهارراه شهید کاظمی، خیابان مصطفی خمینی، CX9J+RPM, Iran",0.0,D
Khan Daei Restaurant,3.3,3.0,Restaurant,"Kerman Province, Rafsanjan, Unnamed Road, CX9V+3CR, Iran",2.487437185929648,D
Chukouch,4.0,5.0,Chicken restaurant,"رفسنجان،،, Kerman Province, Rafsanjan, استان کرمان،, S Modares, CX6H+CJF, Iran",5.025125628140704,D
Hall and Castle Garden Restaurant Artemis,3.7,3.0,Restaurant,"CX38+66C, Rafsanjan, Kerman Province, Iran",2.788944723618091,D
Baharestan Restaurant,5.0,2.0,Restaurant,"Kerman Province, Rafsanjan، مطهری 13، 9XXH+RJV, Iran",2.512562814070352,D
Seyed Yahya Restaurant,3.0,2.0,Restaurant,"CX9X+V52, Rafsanjan, Kerman Province, Iran",1.507537688442211,D
رستوران سالم,0.0,0.0,Restaurant,"9XQ6+2QH, Rafsanjan, Kerman Province, Iran",0.0,D
Desert nights Restaurant,4.5,2.0,Restaurant,"CX2P+P9M, Rafsanjan, Kerman Province, Iran",2.261306532663317,D
Green Moon Restaurant,4.0,1.0,Restaurant,"9XPM+WRF, Rafsanjan, Kerman Province, Iran",1.0050251256281406,D
Gilani Restaurant,4.1,95.0,Persian restaurant,"Kerman Province, Rafsanjan, Emam Khomeini, CX2X+8XV, Iran",97.86432160804019,A
Potatoes Fast food,3.3,3.0,Fast food restaurant,"CX3P+GJ4, Rafsanjan, Kerman Province, Iran",2.487437185929648,D
فست فود شما,3.0,1.0,Fast food restaurant,"Kerman Province, Rafsanjan, Azadi, 92FF+GGH, Iran",0.7537688442211055,D
Zireh Pizza & Crispy chicken,3.9,12.0,Fast food restaurant,"CX8G+76M, Rafsanjan, Kerman Province, Iran",11.758793969849247,D
Tabeta Pizza,2.7,9.0,Pizza restaurant,"Kerman Province, Rafsanjan, Taleghani, 9XRX+PVJ, Iran",6.105527638190955,D
فست فود عقیق,0.0,0.0,Fast food restaurant,"CX7G+3J5, Rafsanjan, Kerman Province, Iran",0.0,D
تاپ تنور,4.5,6.0,Fast food restaurant,"9XQX+GFQ, Rafsanjan, Kerman Province, Iran",6.78391959798995,D
Melon Pizza,4.7,6.0,Pizza restaurant,"92J5+QR2, Rafsanjan, Kerman Province, Iran",7.085427135678393,D
green fast food,3.0,2.0,Fast food restaurant,"رفسنجان،، Kerman Rafsanjan استان کرمان،، مدرس 4، CX3M+QV7, Iran",1.507537688442211,D
پیتزا مکزیکی,0.0,0.0,Pizza restaurant,"CVJ2+MHG, Hormozabad, Kerman Province, Iran",0.0,D
فست فود چوریک,4.3,3.0,Fast food restaurant,"Kerman Province, Rafsanjan, Shohada Square, CX3M+5X4, Iran",3.2412060301507535,D
رستوران شب های کویر (علی تاج),5.0,1.0,Persian restaurant,"CX2P+PCV, Rafsanjan, Kerman Province, Iran",1.256281407035176,D
فست فود رویال زیتون,1.0,1.0,Fast food restaurant,"Kerman Province, Rafsanjan، مدرس، CX4J+CPG, Iran",0.25125628140703515,D
Olca doner اُلکا دونر,5.0,3.0,Fast food restaurant,"92W4+235, Rafsanjan, Kerman Province, Iran",3.7688442211055273,D
مجموعه مکران,0.0,0.0,Fast food restaurant,"Kerman Province, Rafsanjan, Jomhoriye Eslami, 9XXP+9QP, Iran",0.0,D
رستوران,0.0,0.0,Brunch restaurant,"7WW4+78H, Rabor, Kerman Province, Iran",0.0,D
رستوران,0.0,0.0,Restaurant,"GQ3F+3FP, Rumarz-e Olya, Kerman Province, Iran",0.0,D
